Employee_ID,Employee_Name,Gender,Age,Department,Job_Role,Location,Employment_Type,Joining_Date,Exit_Date,Years_at_Company,Total_Work_Experience,Education_Level,Salary,Performance_Rating,Job_Satisfaction,Work_Life_Balance,Monthly_Hours,Overtime_Hours,Attendance_Percentage,Projects_Completed,Training_Hours,Promotions,Sick_Days,Manager_Rating,Employee_Engagement,Attrition,Attrition_Reason,Remote_Work,Active_Employee,Exited_Employee
EMP00015,Employee_00015,Male,37,Operations,Operations Analyst,Pune,Full-Time,2016-07-21,2023-10-21 00:00:00,10.0,16.2,Bachelor's,1793405,3,4.0,4,147,0,95.6,2,44.0,4,6,4.0,4,No,Not Applicable,No,1,0
EMP00016,Employee_00016,Male,23,Sales,Sales Analyst,Hyderabad,Full-Time,2023-01-27,2024-07-27 00:00:00,3.5,6.4,MBA,859982,4,3.0,3,182,28,95.9,6,40.0,1,2,3.0,3,No,Not Applicable,No,1,0
EMP00017,Employee_00017,Female,28,Marketing,Marketing Executive,Pune,Full-Time,2022-12-04,2025-09-04 00:00:00,3.7,10.7,Bachelor's,1366222,2,2.0,4,202,14,93.9,1,26.0,0,7,2.0,3,No,Not Applicable,No,1,0
EMP00018,Employee_00018,Male,22,Sales,Sales Manager,Bengaluru,Full-Time,2016-04-21,2019-04-21 00:00:00,10.3,12.9,Master's,1258640,3,3.0,3,149,13,90.1,8,46.0,4,5,3.0,3,No,Not Applicable,Yes,1,0
EMP00019,Employee_00019,Male,31,HR,Recruiter,Ahmedabad,Full-Time,2015-12-13,2020-03-13 00:00:00,10.6,12.2,Diploma,1527857,4,5.0,3,138,22,96.3,6,28.0,1,6,5.0,4,No,Not Applicable,No,1,0
EMP00020,Employee_00020,Male,29,Sales,Sales Executive,Bengaluru,Full-Time,2023-06-10,2026-07-31 00:00:00,3.1,7.1,Bachelor's,1363064,4,5.0,5,133,9,91.0,7,46.0,2,4,4.0,4,No,Not Applicable,Yes,1,0
EMP00021,Employee_00021,Female,21,Finance,Senior Accountant,Kolkata,Full-Time,2021-08-17,2026-07-31 00:00:00,5.0,5.8,Master's,1167534,4,4.0,3,179,4,94.1,4,46.0,2,4,4.0,4,No,Not Applicable,Yes,1,0
EMP00022,Employee_00022,Male,35,Sales,Sales Executive,Mumbai,Full-Time,2021-09-19,2026-07-31 00:00:00,4.9,6.9,Bachelor's,1450884,3,3.0,3,163,9,92.6,4,17.0,0,5,3.0,4,No,Not Applicable,No,1,0
EMP00023,Employee_00023,Female,32,Marketing,Digital Marketing Specialist,Chennai,Full-Time,2015-02-06,2016-05-06 00:00:00,11.5,12.0,Bachelor's,1417207,3,3.0,3,209,17,93.8,3,31.0,3,6,3.0,3,No,Not Applicable,No,1,0
EMP00024,Employee_00024,Female,34,IT,QA Engineer,Ahmedabad,Full-Time,2021-01-10,2023-07-10 00:00:00,5.6,11.0,Bachelor's,1539148,4,3.0,4,216,10,95.4,5,38.0,0,3,5.0,3,No,Not Applicable,No,1,0
EMP00025,Employee_00025,Female,45,IT,QA Engineer,Chennai,Full-Time,2024-01-13,2026-07-31 00:00:00,2.5,6.1,Bachelor's,1934372,4,5.0,3,196,23,93.1,4,39.0,2,4,5.0,4,No,Not Applicable,No,1,0
EMP00026,Employee_00026,Male,24,Operations,Supply Chain Analyst,Pune,Full-Time,2019-11-13,2023-11-13 00:00:00,6.7,9.7,Bachelor's,1052422,3,3.0,3,158,0,95.3,7,44.0,2,6,3.0,3,No,Not Applicable,Yes,1,0
EMP00027,Employee_00027,Female,29,IT,IT Manager,Chennai,Full-Time,2022-12-17,2026-07-31 00:00:00,3.6,11.0,Bachelor's,1710092,4,4.0,4,177,9,93.0,9,41.0,0,4,3.0,4,No,Not Applicable,No,1,0
EMP00028,Employee_00028,Male,30,Sales,Account Manager,Delhi,Contract,2020-10-07,2026-07-31 00:00:00,5.8,6.4,Master's,1198984,4,5.0,5,186,4,92.8,8,20.0,0,6,4.0,5,No,Not Applicable,No,1,0
EMP00029,Employee_00029,Male,29,IT,IT Manager,Kolkata,Contract,2022-04-22,2026-07-31 00:00:00,4.3,8.6,Bachelor's,1628961,4,1.0,4,142,12,94.4,6,28.0,1,3,4.0,2,No,Not Applicable,No,1,0
EMP00030,Employee_00030,Female,41,Operations,Operations Manager,Mumbai,Full-Time,2021-08-17,2022-08-17 00:00:00,5.0,6.2,Bachelor's,1275199,3,2.0,4,185,18,99.5,5,32.0,2,6,3.0,4,No,Not Applicable,Yes,1,0
EMP00031,Employee_00031,Male,43,IT,Data Analyst,Bengaluru,Contract,2018-02-18,2020-05-18 00:00:00,8.4,13.2,Master's,2001975,5,4.0,4,159,3,91.6,8,52.0,0,7,5.0,4,No,Not Applicable,Yes,1,0
EMP00032,Employee_00032,Male,30,HR,Recruiter,Kolkata,Contract,2022-10-06,2026-04-06 00:00:00,3.8,7.8,Bachelor's,1081999,3,3.0,3,163,23,95.7,7,47.0,0,6,3.0,2,No,Not Applicable,Yes,1,0
EMP00033,Employee_00033,Female,35,IT,IT Manager,Chennai,Full-Time,2022-06-10,2026-07-31 00:00:00,4.1,5.6,Bachelor's,1707241,5,3.0,3,202,11,98.3,10,27.0,2,4,5.0,3,No,Not Applicable,No,1,0
EMP00034,Employee_00034,Male,21,HR,HR Analyst,Hyderabad,Contract,2014-03-29,2019-03-29 00:00:00,12.3,14.6,Bachelor's,1285874,3,4.0,4,221,21,90.7,1,49.0,1,8,4.0,3,No,Not Applicable,No,1,0
EMP00035,Employee_00035,Male,36,Sales,Sales Manager,Chennai,Contract,2024-09-09,2026-07-31 00:00:00,1.9,4.8,Bachelor's,1187060,3,4.0,3,199,20,93.2,1,40.0,0,3,3.0,4,No,Not Applicable,Yes,1,0
EMP00036,Employee_00036,Male,21,Operations,Operations Analyst,Hyderabad,Full-Time,2018-07-14,2026-01-14 00:00:00,8.0,13.1,Bachelor's,897251,3,3.0,3,149,28,95.9,5,37.0,0,4,1.0,3,No,Not Applicable,No,1,0
EMP00037,Employee_00037,Female,21,Finance,Accountant,Mumbai,Full-Time,2019-02-28,2020-11-28 00:00:00,7.4,13.8,Bachelor's,1243952,3,4.0,3,146,0,93.4,2,59.0,1,7,3.0,3,No,Not Applicable,Yes,1,0
EMP00038,Employee_00038,Female,36,Sales,Sales Analyst,Ahmedabad,Part-Time,2017-04-08,2019-04-08 00:00:00,9.3,14.2,Master's,1923604,4,3.0,2,171,17,90.3,4,50.0,1,2,4.0,4,No,Not Applicable,Yes,1,0
EMP00039,Employee_00039,Female,24,Finance,Financial Analyst,Ahmedabad,Part-Time,2025-11-11,2026-07-31 00:00:00,0.7,5.1,Master's,1100486,4,3.0,5,176,8,96.5,7,30.0,0,5,2.0,4,No,Not Applicable,No,1,0
EMP00040,Employee_00040,Female,37,HR,Recruiter,Hyderabad,Full-Time,2025-09-13,2026-07-31 00:00:00,0.9,1.6,Master's,1172223,3,3.0,3,166,6,96.4,5,46.0,1,6,3.0,3,No,Not Applicable,Yes,1,0
EMP00041,Employee_00041,Female,27,Marketing,Marketing Manager,Chennai,Full-Time,2018-11-20,2024-08-20 00:00:00,7.7,12.4,Master's,1292174,4,4.0,3,176,9,89.2,7,53.0,1,3,4.0,4,No,Not Applicable,Yes,1,0
EMP00042,Employee_00042,Female,44,IT,IT Manager,Mumbai,Contract,2019-04-18,2025-04-18 00:00:00,7.3,9.1,MBA,1869576,3,1.0,2,186,28,92.4,4,28.0,2,6,3.0,3,No,Not Applicable,No,1,0
EMP00043,Employee_00043,Male,39,Finance,Finance Manager,Bengaluru,Full-Time,2015-12-10,2023-03-10 00:00:00,10.6,12.6,Master's,1766177,2,4.0,4,176,1,93.1,2,30.0,3,4,2.0,3,No,Not Applicable,Yes,1,0
EMP00044,Employee_00044,Female,43,Sales,Sales Manager,Pune,Full-Time,2021-06-30,2022-12-30 00:00:00,5.1,6.2,Bachelor's,1305260,3,4.0,2,179,5,100.0,2,43.0,1,4,4.0,3,No,Not Applicable,Yes,1,0
EMP00045,Employee_00045,Female,27,Operations,Operations Executive,Mumbai,Full-Time,2019-08-11,2022-05-11 00:00:00,7.0,10.0,Bachelor's,1134431,3,2.0,4,165,28,90.9,5,31.0,1,8,3.0,3,No,Not Applicable,Yes,1,0
EMP00046,Employee_00046,Female,23,HR,Talent Acquisition Specialist,Mumbai,Full-Time,2020-08-13,2023-08-13 00:00:00,6.0,9.6,Bachelor's,1108890,4,3.0,4,194,15,92.1,8,36.0,0,9,3.0,4,No,Not Applicable,No,1,0
EMP00047,Employee_00047,Female,33,Sales,Account Manager,Delhi,Full-Time,2020-02-11,2024-05-11 00:00:00,6.5,8.3,Bachelor's,1398934,4,4.0,3,182,19,93.2,6,44.0,2,7,4.0,4,No,Not Applicable,Yes,1,0
EMP00048,Employee_00048,Male,39,HR,HR Analyst,Bengaluru,Part-Time,2014-04-06,2019-10-06 00:00:00,12.3,15.0,Bachelor's,1828232,4,5.0,2,136,15,93.9,5,39.0,1,2,4.0,3,No,Not Applicable,Yes,1,0
EMP00049,Employee_00049,Female,39,IT,Software Engineer,Kolkata,Full-Time,2019-06-01,2026-03-01 00:00:00,7.2,6.7,Bachelor's,1854280,5,5.0,3,161,7,90.6,10,35.0,0,6,5.0,4,No,Not Applicable,Yes,1,0
EMP00050,Employee_00050,Male,24,IT,Data Analyst,Hyderabad,Full-Time,2019-08-08,2026-07-31 00:00:00,7.0,10.2,Master's,1533691,5,1.0,3,171,4,97.2,7,67.0,2,5,5.0,3,No,Not Applicable,No,1,0
EMP00051,Employee_00051,Male,32,IT,DevOps Engineer,Ahmedabad,Full-Time,2024-09-24,2025-12-24 00:00:00,1.8,3.1,MBA,1172054,3,4.0,4,190,3,92.3,3,18.0,3,3,2.0,5,No,Not Applicable,No,1,0
EMP00052,Employee_00052,Male,40,IT,IT Manager,Chennai,Full-Time,2014-11-18,2017-05-18 00:00:00,11.7,11.9,Bachelor's,1796596,4,2.0,1,176,9,89.6,8,42.0,1,2,4.0,3,No,Not Applicable,Yes,1,0
EMP00053,Employee_00053,Female,21,Sales,Sales Executive,Bengaluru,Full-Time,2018-11-22,2022-08-22 00:00:00,7.7,11.8,Master's,1221147,3,4.0,3,189,6,98.2,5,26.0,2,4,2.0,4,No,Not Applicable,No,1,0
EMP00054,Employee_00054,Female,43,IT,System Administrator,Mumbai,Full-Time,2020-07-18,2022-04-13 00:00:00,6.0,10.0,Bachelor's,1705451,3,3.0,5,219,43,90.8,2,11.0,1,9,3.0,3,Yes,Better Opportunity,No,0,1
EMP00055,Employee_00055,Female,33,Finance,Accountant,Pune,Full-Time,2023-12-12,2026-07-31 00:00:00,2.6,4.2,Bachelor's,1088940,4,4.0,4,182,13,93.1,5,46.0,1,7,3.0,4,No,Not Applicable,No,1,0
EMP00056,Employee_00056,Male,21,Operations,Operations Analyst,Kolkata,Full-Time,2015-12-06,2021-03-06 00:00:00,10.7,19.1,Bachelor's,1281934,2,3.0,3,200,18,90.5,7,52.0,1,5,2.0,4,No,Not Applicable,Yes,1,0
EMP00057,Employee_00057,Male,21,HR,HR Executive,Hyderabad,Full-Time,2014-09-04,2021-03-04 00:00:00,11.9,11.5,Bachelor's,1076484,3,4.0,3,177,6,93.7,4,28.0,3,6,2.0,3,No,Not Applicable,No,1,0
EMP00058,Employee_00058,Male,43,IT,Software Engineer,Delhi,Part-Time,2021-12-20,2026-07-31 00:00:00,4.6,3.0,Bachelor's,1717703,4,3.0,4,162,12,94.3,3,35.0,0,6,5.0,5,No,Not Applicable,Yes,1,0
EMP00059,Employee_00059,Male,36,Operations,Operations Manager,Chennai,Full-Time,2018-04-18,2019-04-18 00:00:00,8.3,16.5,Bachelor's,1575982,4,1.0,4,168,0,100.0,10,35.0,1,5,4.0,2,No,Not Applicable,Yes,1,0
EMP00060,Employee_00060,Male,39,Operations,Supply Chain Analyst,Hyderabad,Full-Time,2020-01-17,2022-04-17 00:00:00,6.5,5.2,Master's,1345653,2,3.0,4,153,32,91.4,2,21.0,1,8,1.0,2,No,Not Applicable,Yes,1,0
EMP00061,Employee_00061,Female,35,Finance,Accountant,Mumbai,Full-Time,2025-07-14,2026-07-31 00:00:00,1.0,1.0,Bachelor's,1094941,4,4.0,5,145,4,100.0,6,56.0,0,2,4.0,4,No,Not Applicable,Yes,1,0
EMP00062,Employee_00062,Female,33,IT,IT Manager,Delhi,Full-Time,2019-05-13,2024-02-13 00:00:00,7.2,11.1,Bachelor's,1865854,5,2.0,4,163,2,96.9,12,15.0,1,3,4.0,3,No,Not Applicable,No,1,0
EMP00063,Employee_00063,Female,40,Sales,Sales Analyst,Pune,Full-Time,2016-09-10,2021-09-10 00:00:00,9.9,15.5,Bachelor's,1902227,4,3.0,3,173,0,100.0,7,67.0,4,2,5.0,4,No,Not Applicable,No,1,0
EMP00064,Employee_00064,Male,21,Operations,Operations Manager,Ahmedabad,Contract,2023-06-16,2026-07-31 00:00:00,3.1,7.9,Bachelor's,865022,5,2.0,4,161,10,88.6,11,38.0,1,4,5.0,4,No,Not Applicable,No,1,0
EMP00065,Employee_00065,Female,23,HR,HR Analyst,Mumbai,Full-Time,2024-11-09,2026-07-31 00:00:00,1.7,6.5,Master's,944781,3,5.0,3,135,12,94.5,3,30.0,2,9,4.0,3,No,Not Applicable,Yes,1,0
EMP00066,Employee_00066,Male,31,IT,IT Manager,Mumbai,Part-Time,2014-06-14,2016-03-14 00:00:00,12.1,18.4,Bachelor's,1860758,3,3.0,3,146,0,97.9,3,58.0,3,5,3.0,4,No,Not Applicable,No,1,0
EMP00067,Employee_00067,Male,36,Finance,Finance Manager,Hyderabad,Full-Time,2025-06-03,2026-07-31 00:00:00,1.2,6.7,Master's,1490405,4,5.0,1,211,13,96.5,5,24.0,2,7,4.0,3,No,Not Applicable,Yes,1,0
EMP00068,Employee_00068,Female,21,Marketing,Marketing Executive,Kolkata,Full-Time,2014-12-15,2017-09-08 00:00:00,11.6,13.6,Bachelor's,907587,2,3.0,4,160,13,94.4,1,31.0,1,1,2.0,3,Yes,Better Opportunity,Yes,0,1
EMP00069,Employee_00069,Female,28,Operations,Supply Chain Analyst,Kolkata,Full-Time,2016-07-05,2019-10-05 00:00:00,10.1,14.1,Master's,1405841,3,4.0,4,156,4,94.0,1,16.0,4,2,2.0,4,No,Not Applicable,Yes,1,0
EMP00070,Employee_00070,Male,29,HR,Talent Acquisition Specialist,Hyderabad,Full-Time,2020-03-02,2024-09-02 00:00:00,6.4,6.0,Master's,1068495,4,3.0,3,134,17,96.4,7,26.0,2,4,4.0,3,No,Not Applicable,Yes,1,0
EMP00071,Employee_00071,Female,42,IT,QA Engineer,Kolkata,Contract,2024-07-14,2026-07-31 00:00:00,2.0,4.9,Diploma,1695421,4,5.0,4,157,16,94.7,3,28.0,1,1,4.0,5,No,Not Applicable,Yes,1,0
EMP00072,Employee_00072,Male,30,IT,Software Engineer,Ahmedabad,Full-Time,2015-08-13,2021-08-13 00:00:00,11.0,11.0,Bachelor's,1640431,3,3.0,1,169,8,94.9,7,42.0,1,1,3.0,3,No,Not Applicable,No,1,0
EMP00073,Employee_00073,Male,26,Operations,Process Associate,Chennai,Contract,2025-07-23,2026-07-31 00:00:00,1.0,3.1,Bachelor's,692008,2,3.0,5,174,0,95.5,4,29.0,0,3,1.0,3,No,Not Applicable,No,1,0
EMP00074,Employee_00074,Female,40,Finance,Accountant,Hyderabad,Full-Time,2018-11-15,2020-05-15 00:00:00,7.7,11.7,Bachelor's,1978093,5,4.0,3,205,34,93.4,9,43.0,1,1,3.0,4,No,Not Applicable,No,1,0
EMP00075,Employee_00075,Male,30,Operations,Operations Analyst,Pune,Full-Time,2025-01-24,2026-07-31 00:00:00,1.5,5.8,Bachelor's,1149475,5,2.0,4,180,19,95.2,3,54.0,0,14,5.0,3,No,Not Applicable,No,1,0
EMP00076,Employee_00076,Female,34,HR,HR Analyst,Bengaluru,Full-Time,2018-04-16,2021-04-16 00:00:00,8.3,12.7,Master's,1404364,3,3.0,3,132,2,93.0,3,44.0,1,4,1.0,2,No,Not Applicable,Yes,1,0
EMP00077,Employee_00077,Male,31,IT,IT Manager,Ahmedabad,Full-Time,2014-10-01,2019-01-01 00:00:00,11.8,15.3,Bachelor's,1902503,3,4.0,5,214,26,93.0,6,48.0,3,4,3.0,4,No,Not Applicable,Yes,1,0
EMP00078,Employee_00078,Male,25,HR,HR Analyst,Mumbai,Full-Time,2018-11-30,2024-05-30 00:00:00,7.7,9.4,Master's,1160430,3,3.0,3,162,6,90.9,2,33.0,2,4,3.0,3,No,Not Applicable,Yes,1,0
EMP00079,Employee_00079,Male,24,Marketing,Marketing Manager,Chennai,Part-Time,2015-12-05,2022-09-05 00:00:00,10.7,12.8,Bachelor's,1507174,4,4.0,3,185,12,94.0,7,36.0,3,6,5.0,3,No,Not Applicable,Yes,1,0
EMP00080,Employee_00080,Female,31,Finance,Auditor,Pune,Full-Time,2020-03-31,2026-07-31 00:00:00,6.3,12.6,Bachelor's,1481666,4,2.0,1,209,9,97.4,5,35.0,1,6,3.0,2,No,Not Applicable,Yes,1,0
EMP00081,Employee_00081,Male,31,IT,System Administrator,Delhi,Full-Time,2025-08-10,2026-07-31 00:00:00,1.0,5.9,Bachelor's,1476947,4,1.0,3,143,4,92.6,6,45.0,2,1,3.0,2,No,Not Applicable,Yes,1,0
EMP00082,Employee_00082,Female,32,IT,IT Manager,Chennai,Full-Time,2023-02-19,2025-08-19 00:00:00,3.4,9.8,Bachelor's,1549032,5,3.0,4,131,24,92.8,4,37.0,0,5,5.0,4,No,Not Applicable,Yes,1,0
EMP00083,Employee_00083,Male,40,Finance,Financial Analyst,Pune,Full-Time,2017-08-13,2021-05-13 00:00:00,9.0,8.0,Bachelor's,1639737,5,3.0,5,140,7,99.2,8,40.0,1,7,5.0,4,No,Not Applicable,Yes,1,0
EMP00084,Employee_00084,Male,31,Marketing,Marketing Executive,Pune,Full-Time,2020-04-06,2024-04-06 00:00:00,6.3,10.6,PhD,1498751,4,2.0,4,150,0,92.0,7,39.0,1,3,5.0,3,No,Not Applicable,No,1,0
EMP00085,Employee_00085,Female,34,Finance,Accountant,Kolkata,Full-Time,2016-01-02,2021-04-02 00:00:00,10.6,10.8,MBA,1491516,3,4.0,4,159,24,89.2,3,29.0,2,7,3.0,4,No,Not Applicable,Yes,1,0
EMP00086,Employee_00086,Male,24,Operations,Process Associate,Bengaluru,Full-Time,2025-08-03,2026-07-31 00:00:00,1.0,5.9,Bachelor's,869008,5,3.0,4,178,19,91.5,6,51.0,0,3,4.0,5,No,Not Applicable,Yes,1,0
EMP00087,Employee_00087,Male,34,Operations,Operations Executive,Hyderabad,Full-Time,2020-04-18,2026-07-31 00:00:00,6.3,5.2,Bachelor's,925994,3,4.0,5,129,15,93.8,8,37.0,0,3,3.0,4,No,Not Applicable,Yes,1,0
EMP00088,Employee_00088,Male,24,IT,IT Manager,Mumbai,Full-Time,2023-08-04,2024-08-04 00:00:00,3.0,3.4,Bachelor's,1087236,5,3.0,2,212,24,97.1,8,34.0,0,3,5.0,4,No,Not Applicable,Yes,1,0
EMP00089,Employee_00089,Female,25,Operations,Operations Manager,Bengaluru,Full-Time,2024-04-19,2026-07-19 00:00:00,2.3,5.7,Bachelor's,1152551,4,4.0,5,213,16,97.1,10,28.0,1,3,4.0,5,No,Not Applicable,Yes,1,0
EMP00090,Employee_00090,Male,37,Operations,Process Associate,Kolkata,Full-Time,2017-12-08,2021-06-08 00:00:00,8.6,9.4,Bachelor's,1437597,3,3.0,3,211,30,86.2,6,63.0,1,6,2.0,3,No,Not Applicable,Yes,1,0
EMP00091,Employee_00091,Male,27,Finance,Senior Accountant,Chennai,Full-Time,2020-02-07,2024-11-07 00:00:00,6.5,8.9,Bachelor's,1348953,3,3.0,2,154,36,91.0,8,37.0,0,4,2.0,3,No,Not Applicable,Yes,1,0
EMP00092,Employee_00092,Male,26,IT,Software Engineer,Pune,Full-Time,2015-08-31,2020-08-31 00:00:00,10.9,9.3,Diploma,1367469,2,3.0,4,147,3,92.7,3,37.0,4,3,2.0,3,No,Not Applicable,Yes,1,0
EMP00093,Employee_00093,Male,25,IT,Software Engineer,Kolkata,Full-Time,2016-01-10,2022-04-10 00:00:00,10.6,14.6,Bachelor's,1972682,5,4.0,3,160,9,93.2,5,36.0,2,6,5.0,3,No,Not Applicable,Yes,1,0
EMP00094,Employee_00094,Female,32,Marketing,Digital Marketing Specialist,Delhi,Full-Time,2025-02-22,2026-07-31 00:00:00,1.4,7.6,Master's,1462440,4,3.0,4,155,4,95.1,6,24.0,1,3,4.0,4,No,Not Applicable,Yes,1,0
EMP00095,Employee_00095,Male,24,Operations,Operations Manager,Bengaluru,Full-Time,2016-12-27,2018-09-27 00:00:00,9.6,10.7,Bachelor's,1150357,4,2.0,4,167,10,89.1,13,32.0,4,4,4.0,4,No,Not Applicable,Yes,1,0
EMP00096,Employee_00096,Female,25,Marketing,Marketing Manager,Ahmedabad,Full-Time,2022-01-02,2024-01-02 00:00:00,4.6,3.9,Bachelor's,877914,4,3.0,3,158,7,96.3,6,26.0,1,5,4.0,4,No,Not Applicable,Yes,1,0
EMP00097,Employee_00097,Female,39,IT,DevOps Engineer,Bengaluru,Full-Time,2015-06-13,2018-09-13 00:00:00,11.1,16.2,Master's,1853302,3,5.0,3,170,2,95.1,5,41.0,1,3,3.0,4,No,Not Applicable,No,1,0
EMP00098,Employee_00098,Female,24,Marketing,SEO Specialist,Hyderabad,Contract,2014-07-21,2019-01-21 00:00:00,12.0,17.4,Master's,1253387,3,3.0,3,165,23,92.8,7,13.0,1,7,3.0,4,No,Not Applicable,No,1,0
EMP00099,Employee_00099,Female,21,Finance,Accountant,Pune,Full-Time,2020-05-28,2026-02-28 00:00:00,6.2,9.1,Bachelor's,876695,3,2.0,2,178,6,95.8,5,43.0,0,4,3.0,1,No,Not Applicable,Yes,1,0
EMP00100,Employee_00100,Female,38,Sales,Sales Manager,Ahmedabad,Full-Time,2025-03-27,2026-07-31 00:00:00,1.3,5.1,Master's,1379320,4,3.0,5,227,35,94.1,5,47.0,0,8,3.0,3,No,Not Applicable,Yes,1,0
EMP00101,Employee_00101,Male,31,IT,QA Engineer,Hyderabad,Full-Time,2017-01-19,2024-04-19 00:00:00,9.5,14.9,Master's,1532986,1,2.0,4,170,2,97.7,1,26.0,1,2,1.0,3,No,Not Applicable,Yes,1,0
EMP00102,Employee_00102,Male,29,Sales,Sales Manager,Ahmedabad,Full-Time,2015-07-02,2017-01-02 00:00:00,11.1,11.9,Master's,1465674,5,3.0,5,197,13,89.2,7,32.0,0,4,4.0,4,No,Not Applicable,No,1,0
EMP00103,Employee_00103,Female,28,Marketing,Marketing Executive,Kolkata,Full-Time,2025-06-23,2026-07-31 00:00:00,1.1,0.5,Bachelor's,961520,5,3.0,3,162,15,95.8,9,23.0,0,5,5.0,3,No,Not Applicable,Yes,1,0
EMP00104,Employee_00104,Non-Binary,35,Sales,Business Development Executive,Bengaluru,Part-Time,2024-06-26,2026-07-31 00:00:00,2.1,4.4,Bachelor's,1027287,2,5.0,4,195,27,92.2,4,17.0,1,6,2.0,4,No,Not Applicable,No,1,0
EMP00105,Employee_00105,Female,26,IT,DevOps Engineer,Mumbai,Full-Time,2021-10-15,2026-01-15 00:00:00,4.8,6.0,Bachelor's,1039299,2,4.0,3,143,0,94.4,1,2.0,1,3,2.0,3,No,Not Applicable,Yes,1,0
EMP00106,Employee_00106,Female,34,Marketing,SEO Specialist,Hyderabad,Contract,2019-07-27,2025-01-27 00:00:00,7.0,8.4,MBA,1433289,4,4.0,2,154,5,98.5,6,44.0,1,4,4.0,3,No,Not Applicable,Yes,1,0
